age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
64;technician;single;secondary;no;1670;yes;no;cellular;24;may;676;2;-1;1;unknown;no
43;management;single;tertiary;no;3473;yes;no;cellular;15;may;768;2;-1;0;unknown;no
49;management;single;secondary;no;2800;yes;no;cellular;9;jun;457;1;-1;0;unknown;no
35;blue-collar;single;tertiary;no;413;no;yes;unknown;12;jun;58;2;199;0;success;no
38;housemaid;married;secondary;no;2932;no;no;cellular;13;jun;220;2;-1;0;unknown;no
33;entrepreneur;married;secondary;no;-249;no;no;cellular;23;may;168;1;-1;0;unknown;no
18;blue-collar;single;tertiary;no;12272;no;no;cellular;7;may;148;1;-1;0;unknown;no
26;management;married;tertiary;no;495;yes;no;unknown;8;jul;695;6;-1;0;unknown;yes
21;management;married;tertiary;no;2552;no;no;cellular;12;jul;745;2;703;1;failure;no
18;technician;single;tertiary;no;-136;yes;no;telephone;15;may;175;2;-1;0;unknown;no
27;technician;married;primary;no;907;yes;no;cellular;30;jun;209;2;-1;1;unknown;no
54;blue-collar;married;secondary;no;988;yes;no;unknown;9;apr;73;4;-1;0;unknown;no
40;admin.;divorced;unknown;no;-467;yes;no;unknown;29;sep;640;1;-1;0;unknown;no
54;student;married;secondary;no;-479;no;no;telephone;2;nov;535;1;702;2;success;no
44;unknown;married;secondary;no;-6;yes;no;cellular;16;may;137;1;-1;0;unknown;no
48;technician;married;primary;no;2412;yes;no;cellular;27;aug;153;1;-1;0;unknown;no
31;admin.;married;secondary;no;-724;yes;no;cellular;10;apr;355;1;-1;0;unknown;yes
46;blue-collar;single;primary;no;-137;yes;no;cellular;7;may;350;3;362;0;other;yes
48;admin.;single;secondary;no;3164;no;no;cellular;19;may;262;1;-1;0;unknown;no
34;technician;married;secondary;no;-580;yes;no;unknown;8;may;505;6;-1;1;unknown;no
46;management;married;secondary;no;2943;yes;no;cellular;1;aug;394;1;-1;1;unknown;no
46;management;married;tertiary;no;-545;no;no;telephone;2;jan;317;4;-1;1;unknown;no
34;management;married;primary;no;-461;no;no;unknown;15;aug;168;1;-1;2;unknown;no
28;blue-collar;single;secondary;no;47;yes;yes;unknown;16;aug;403;3;-1;0;unknown;no
28;retired;single;secondary;no;6240;yes;no;unknown;1;jun;316;2;745;0;failure;no
41;admin.;married;secondary;no;-322;no;no;cellular;9;apr;180;1;-1;0;unknown;no
43;self-employed;single;secondary;no;-706;yes;yes;cellular;24;may;193;3;-1;0;unknown;no
32;services;single;tertiary;no;-630;yes;no;cellular;18;jun;137;1;-1;2;unknown;no
40;self-employed;married;tertiary;no;1885;yes;no;telephone;19;feb;295;1;-1;0;unknown;no
46;entrepreneur;single;secondary;no;-617;yes;no;cellular;23;feb;460;3;-1;0;unknown;no
46;technician;single;secondary;no;2697;no;no;cellular;29;jul;93;1;408;0;failure;no
56;services;married;tertiary;no;276;no;no;unknown;2;may;186;5;-1;0;unknown;yes
53;blue-collar;married;secondary;no;162;yes;no;cellular;15;feb;479;3;-1;1;unknown;no
29;blue-collar;single;secondary;no;576;no;no;telephone;7;feb;212;2;-1;1;unknown;no
58;retired;divorced;tertiary;no;-408;no;no;telephone;21;may;268;1;594;2;failure;no
34;blue-collar;married;secondary;no;359;yes;no;cellular;13;may;116;1;-1;1;unknown;no
51;blue-collar;married;secondary;no;-567;no;no;cellular;5;may;107;3;-1;0;unknown;no
41;blue-collar;single;secondary;no;3325;no;no;cellular;28;jun;180;3;-1;0;unknown;no
36;blue-collar;married;tertiary;no;-507;yes;no;cellular;16;may;224;1;450;0;other;no
21;management;married;secondary;no;801;yes;no;telephone;4;may;346;1;-1;0;unknown;no
38;retired;married;tertiary;no;-510;no;yes;cellular;7;nov;692;2;-1;0;unknown;no
24;blue-collar;divorced;secondary;no;-257;no;yes;telephone;24;may;105;1;-1;1;unknown;no
50;services;single;secondary;no;-145;yes;no;telephone;15;jan;64;3;-1;1;unknown;no
56;blue-collar;divorced;tertiary;no;20719;yes;no;unknown;30;jul;57;1;-1;0;unknown;no
32;blue-collar;married;secondary;no;181;no;yes;cellular;2;jul;290;5;-1;2;unknown;no
43;blue-collar;married;secondary;no;-418;yes;no;cellular;3;feb;349;2;-1;0;unknown;no
32;student;married;secondary;no;-197;no;no;cellular;22;may;147;5;-1;0;unknown;no
33;technician;married;tertiary;no;-656;no;no;cellular;11;may;276;1;-1;2;unknown;no
48;management;married;secondary;no;32;yes;no;cellular;28;jul;512;2;-1;0;unknown;no
40;admin.;single;tertiary;no;6082;no;no;cellular;24;aug;210;5;-1;0;unknown;no
58;blue-collar;single;secondary;yes;635;no;no;unknown;1;aug;196;1;-1;0;unknown;no
35;blue-collar;single;secondary;no;1806;yes;no;cellular;29;jan;90;3;-1;0;unknown;no
50;technician;married;secondary;no;-459;yes;yes;cellular;30;mar;335;1;-1;1;unknown;yes
41;admin.;married;secondary;no;-5;yes;no;unknown;8;may;136;1;-1;1;unknown;no
48;unemployed;married;primary;no;445;no;yes;cellular;19;may;397;1;-1;0;unknown;no
35;management;married;secondary;no;-369;no;yes;cellular;20;aug;206;1;-1;0;unknown;yes
39;management;married;primary;no;736;yes;no;cellular;2;jan;224;3;-1;1;unknown;no
39;technician;married;secondary;no;1129;no;no;cellular;23;may;43;1;-1;1;unknown;no
31;admin.;divorced;tertiary;no;987;no;no;cellular;31;jul;522;1;763;0;success;yes
47;student;married;secondary;no;43;yes;no;cellular;13;may;445;1;-1;0;unknown;no
47;blue-collar;married;tertiary;no;2365;yes;yes;cellular;31;jan;132;1;-1;0;unknown;no
46;technician;married;secondary;no;-52;no;no;cellular;21;may;401;4;-1;1;unknown;no
56;management;single;tertiary;no;-126;yes;no;cellular;23;aug;103;1;-1;1;unknown;no
55;admin.;married;primary;no;3736;no;no;unknown;18;may;406;14;-1;0;unknown;no
36;technician;married;tertiary;no;-537;no;no;unknown;22;aug;353;1;-1;1;unknown;no
44;admin.;married;secondary;no;-700;no;no;cellular;30;jul;659;1;-1;1;unknown;no
33;blue-collar;married;tertiary;no;-440;yes;no;telephone;19;aug;346;1;-1;0;unknown;no
40;student;single;secondary;no;715;yes;no;unknown;17;may;122;2;-1;0;unknown;no
34;management;married;secondary;no;3058;no;no;cellular;6;may;277;2;-1;1;unknown;no
57;technician;married;secondary;no;-333;yes;no;cellular;17;may;202;1;-1;1;unknown;no
44;retired;single;tertiary;no;5833;yes;no;cellular;27;nov;634;4;-1;0;unknown;yes
38;retired;married;secondary;no;227;yes;no;cellular;21;jun;68;2;-1;0;unknown;no
53;blue-collar;single;tertiary;no;77;no;no;cellular;23;may;269;4;-1;1;unknown;no
18;blue-collar;married;tertiary;no;-431;yes;no;telephone;5;jul;118;4;672;0;failure;no
19;technician;single;secondary;no;6818;no;no;telephone;27;jul;744;1;-1;0;unknown;yes
48;admin.;married;secondary;no;44;yes;no;cellular;17;may;291;4;-1;0;unknown;no
41;management;married;tertiary;no;-611;no;no;telephone;15;nov;370;3;-1;0;unknown;no
43;blue-collar;married;secondary;no;11906;no;yes;unknown;2;jul;204;2;245;2;failure;no
26;blue-collar;divorced;secondary;no;726;yes;yes;unknown;28;jun;411;1;515;0;other;no
40;management;married;secondary;no;1538;no;no;telephone;20;jun;123;4;-1;0;unknown;no
61;student;divorced;primary;no;4993;no;no;cellular;10;apr;130;4;-1;0;unknown;no
49;student;divorced;secondary;no;1127;no;no;cellular;17;jun;628;2;-1;0;unknown;yes
42;technician;married;secondary;no;2007;yes;no;telephone;29;may;1097;2;239;0;other;yes
35;blue-collar;married;secondary;yes;258;no;no;cellular;27;may;49;7;-1;0;unknown;no
36;management;married;secondary;no;1384;yes;no;unknown;10;jul;160;1;-1;0;unknown;no
18;admin.;divorced;unknown;no;160;yes;no;unknown;25;may;508;5;-1;1;unknown;no
43;services;single;tertiary;no;175;yes;no;telephone;1;jul;353;2;439;0;failure;no
49;blue-collar;married;tertiary;no;336;yes;no;cellular;14;oct;137;5;-1;0;unknown;yes
23;management;married;tertiary;no;-163;yes;no;unknown;18;may;195;1;-1;0;unknown;no
33;blue-collar;single;secondary;no;916;no;no;cellular;21;jun;147;2;196;2;other;no
28;technician;married;tertiary;no;911;no;no;unknown;1;may;389;2;-1;0;unknown;no
30;technician;married;primary;no;1587;yes;no;cellular;10;may;137;2;-1;0;unknown;no
41;technician;married;tertiary;no;1179;yes;no;cellular;8;may;198;1;486;1;failure;no
18;admin.;married;tertiary;no;7203;no;yes;unknown;13;may;439;1;-1;1;unknown;no
46;unknown;divorced;secondary;no;2242;yes;no;cellular;22;may;314;2;-1;0;unknown;no
48;blue-collar;single;primary;no;-9;no;no;cellular;3;jan;554;3;-1;2;unknown;no
37;blue-collar;married;secondary;no;825;yes;no;cellular;24;jun;133;1;-1;0;unknown;no
18;blue-collar;married;tertiary;no;3604;no;no;cellular;4;may;192;2;-1;3;unknown;no
30;blue-collar;single;secondary;no;-476;yes;yes;unknown;16;may;120;6;-1;0;unknown;no
53;management;married;tertiary;no;7319;no;no;unknown;26;oct;170;2;-1;1;unknown;no
18;blue-collar;married;primary;no;-395;yes;yes;cellular;28;may;77;1;711;0;failure;no
36;housemaid;married;tertiary;no;1798;yes;no;cellular;31;may;21;2;402;0;failure;no
28;self-employed;single;secondary;no;204;no;no;cellular;14;nov;66;1;-1;0;unknown;no
48;technician;divorced;tertiary;no;142;no;no;cellular;16;aug;452;2;-1;1;unknown;no
33;services;single;primary;yes;-602;yes;no;unknown;28;may;72;3;-1;0;unknown;no
44;management;married;tertiary;no;1818;yes;no;cellular;4;jun;342;1;-1;1;unknown;no
46;blue-collar;single;primary;no;-598;no;no;cellular;29;jul;177;3;-1;1;unknown;no
59;technician;married;tertiary;no;-641;yes;no;cellular;3;aug;202;3;-1;0;unknown;no
38;admin.;single;primary;no;2597;no;no;cellular;3;may;80;4;-1;1;unknown;no
44;blue-collar;married;secondary;no;5666;yes;no;unknown;2;apr;152;6;-1;1;unknown;no
24;admin.;married;secondary;no;-337;yes;no;cellular;8;aug;294;5;-1;0;unknown;no
52;self-employed;married;primary;no;2090;yes;yes;cellular;28;may;73;1;-1;0;unknown;no
32;housemaid;married;primary;no;1532;yes;no;cellular;7;aug;143;1;-1;0;unknown;no
34;self-employed;married;secondary;no;101;yes;no;cellular;14;jul;261;1;-1;0;unknown;no
40;entrepreneur;married;secondary;no;3271;yes;no;unknown;25;apr;348;3;105;2;success;no
24;management;single;secondary;no;31;no;no;cellular;28;may;208;1;-1;0;unknown;no
42;management;single;tertiary;no;940;yes;no;cellular;14;jul;761;1;-1;0;unknown;yes
50;admin.;married;primary;no;-587;no;no;cellular;12;nov;252;1;-1;1;unknown;no
43;management;married;tertiary;no;-573;yes;no;cellular;15;may;403;1;-1;0;unknown;no
23;retired;married;secondary;no;2630;no;no;unknown;19;jul;296;3;-1;2;unknown;no
39;management;married;secondary;no;1003;yes;no;cellular;10;nov;180;1;-1;0;unknown;no
48;admin.;married;primary;no;51;no;no;unknown;21;jun;39;1;-1;0;unknown;no
20;self-employed;divorced;secondary;no;6490;no;no;cellular;26;jul;440;3;-1;0;unknown;no
29;blue-collar;divorced;secondary;no;6412;no;no;cellular;2;jul;436;4;-1;0;unknown;no
49;admin.;married;secondary;no;801;no;no;cellular;26;aug;742;2;-1;2;unknown;yes
43;blue-collar;single;tertiary;no;-644;yes;no;cellular;22;apr;182;3;-1;0;unknown;no
44;management;single;secondary;no;81;yes;no;cellular;2;jun;935;2;-1;0;unknown;no
60;blue-collar;married;secondary;no;-423;yes;no;unknown;25;aug;419;2;-1;1;unknown;no
45;services;single;secondary;no;299;no;no;cellular;16;nov;557;1;-1;0;unknown;no
47;blue-collar;married;primary;no;-470;yes;no;cellular;1;may;85;2;-1;1;unknown;no
68;student;married;secondary;no;-568;no;no;cellular;3;jul;270;1;-1;0;unknown;no
38;blue-collar;divorced;secondary;no;-786;no;no;cellular;2;jun;665;3;338;1;other;yes
32;retired;single;secondary;no;396;yes;no;cellular;13;jul;84;1;646;1;failure;no
44;technician;married;secondary;no;-790;yes;no;cellular;17;aug;6;5;519;0;failure;no
45;housemaid;married;tertiary;no;-104;yes;no;cellular;8;may;170;2;-1;1;unknown;no
34;admin.;divorced;tertiary;no;1296;yes;no;telephone;31;aug;767;1;-1;0;unknown;no
29;management;married;secondary;no;-367;yes;yes;cellular;1;jun;596;1;-1;0;unknown;no
64;unknown;divorced;primary;no;-529;yes;no;unknown;31;apr;249;1;-1;0;unknown;no
43;unemployed;single;secondary;no;125;no;no;cellular;5;may;146;1;-1;0;unknown;no
32;blue-collar;married;primary;no;-421;no;no;unknown;4;apr;374;4;-1;0;unknown;no
50;services;single;secondary;no;420;yes;yes;unknown;16;may;597;1;-1;1;unknown;no
39;entrepreneur;single;secondary;no;-510;yes;no;cellular;24;jun;419;2;-1;0;unknown;no
37;blue-collar;single;primary;no;88;no;no;cellular;21;aug;657;1;317;1;other;no
46;self-employed;married;primary;no;-124;yes;no;telephone;25;jul;660;3;-1;0;unknown;no
26;management;married;tertiary;no;184;no;no;cellular;15;feb;350;1;31;0;success;no
44;management;married;tertiary;no;4726;yes;no;cellular;28;jul;435;2;-1;1;unknown;no
60;technician;single;tertiary;no;439;no;no;unknown;24;may;295;5;-1;0;unknown;no
45;entrepreneur;single;tertiary;no;916;no;no;cellular;2;aug;44;2;-1;1;unknown;no
36;self-employed;single;secondary;no;-313;no;no;cellular;16;aug;303;1;-1;2;unknown;no
35;housemaid;married;secondary;no;471;no;no;unknown;31;jun;86;2;-1;0;unknown;no
36;admin.;married;tertiary;no;-67;no;no;telephone;23;jul;74;2;-1;2;unknown;no
37;housemaid;married;tertiary;no;230;yes;no;cellular;26;may;508;3;-1;1;unknown;no
36;technician;single;primary;no;1198;no;no;cellular;23;jul;161;2;548;2;success;no
50;management;married;secondary;no;-235;no;no;cellular;19;aug;214;5;-1;0;unknown;no
22;admin.;single;secondary;no;-163;yes;yes;telephone;11;aug;110;3;-1;2;unknown;no
49;services;married;secondary;no;-226;yes;no;unknown;3;nov;127;2;-1;0;unknown;no
36;unemployed;married;primary;no;-239;yes;no;telephone;10;may;240;1;506;1;failure;no
44;technician;divorced;secondary;no;404;yes;no;cellular;8;aug;318;1;-1;1;unknown;yes
28;management;married;primary;no;-138;yes;no;cellular;23;oct;229;1;-1;0;unknown;no
54;housemaid;married;secondary;no;4005;yes;no;cellular;11;jul;366;1;-1;1;unknown;yes
53;management;single;secondary;no;15081;yes;no;cellular;11;jul;454;1;-1;0;unknown;no
50;technician;married;tertiary;no;-279;no;yes;cellular;27;mar;55;1;-1;0;unknown;no
24;technician;divorced;secondary;no;571;yes;no;cellular;7;may;382;2;-1;1;unknown;no
49;technician;divorced;tertiary;no;2196;no;no;unknown;24;aug;303;1;-1;0;unknown;no
44;management;single;secondary;no;-59;no;yes;unknown;11;jul;298;2;-1;0;unknown;no
23;blue-collar;married;secondary;no;-494;yes;no;unknown;30;may;92;2;-1;1;unknown;no
40;management;married;tertiary;no;5336;no;no;cellular;30;nov;188;1;-1;0;unknown;no
44;blue-collar;divorced;primary;yes;1278;yes;no;unknown;14;may;405;1;-1;0;unknown;yes
46;admin.;married;secondary;no;608;no;no;cellular;25;apr;79;1;-1;2;unknown;yes
42;management;divorced;secondary;no;3778;yes;no;cellular;29;jul;1055;1;-1;2;unknown;yes
43;self-employed;single;tertiary;no;1469;yes;no;cellular;19;may;509;6;770;0;failure;no
55;technician;married;unknown;yes;145;yes;no;unknown;28;may;117;1;321;0;other;no
53;student;married;primary;no;-487;no;no;cellular;22;nov;200;3;-1;2;unknown;no
18;technician;single;primary;no;-230;yes;no;unknown;1;jul;70;1;-1;0;unknown;no
37;services;married;secondary;no;2759;yes;no;cellular;19;may;522;1;-1;0;unknown;no
38;services;married;tertiary;no;1269;no;yes;cellular;8;may;232;2;-1;0;unknown;no
22;admin.;single;primary;no;10;yes;no;telephone;19;aug;311;1;-1;0;unknown;yes
41;retired;married;primary;no;5516;no;no;unknown;25;may;264;1;432;0;failure;no
53;blue-collar;married;tertiary;no;37;no;no;cellular;7;feb;424;1;-1;1;unknown;no
29;admin.;single;tertiary;no;2044;yes;no;cellular;21;may;115;1;82;0;failure;no
44;blue-collar;single;primary;no;467;yes;no;cellular;17;may;1244;1;-1;0;unknown;yes
30;technician;married;secondary;no;6678;yes;no;unknown;7;jul;425;1;14;1;failure;no
33;services;divorced;secondary;no;1429;no;no;telephone;24;may;463;1;-1;2;unknown;no
56;technician;divorced;unknown;no;248;no;no;unknown;25;nov;329;1;-1;0;unknown;no
34;unemployed;married;tertiary;no;17;yes;no;unknown;1;apr;112;2;-1;0;unknown;no
45;technician;married;secondary;no;180;no;no;unknown;10;aug;202;1;270;1;failure;no
20;blue-collar;single;secondary;no;-369;yes;no;unknown;3;apr;181;1;249;1;failure;no
60;technician;married;tertiary;no;-620;yes;yes;cellular;19;nov;586;2;518;0;failure;yes
46;technician;single;tertiary;no;593;yes;yes;cellular;28;may;125;1;-1;0;unknown;no
38;technician;married;tertiary;no;-257;no;no;cellular;29;may;276;5;-1;2;unknown;no
46;blue-collar;married;secondary;no;-258;yes;no;cellular;13;jun;84;1;-1;1;unknown;no
25;blue-collar;married;secondary;no;103;no;no;cellular;8;sep;417;3;-1;1;unknown;no
52;technician;married;secondary;yes;255;yes;no;telephone;10;nov;150;4;-1;2;unknown;no
37;blue-collar;divorced;primary;no;205;no;yes;unknown;2;aug;447;1;-1;0;unknown;no
38;housemaid;married;secondary;no;5337;no;yes;unknown;11;may;545;1;-1;1;unknown;yes
35;management;divorced;tertiary;no;1227;yes;no;unknown;21;nov;896;1;-1;0;unknown;no
34;blue-collar;married;tertiary;no;8126;yes;no;unknown;1;jun;237;2;-1;1;unknown;no
47;admin.;single;tertiary;no;-193;no;no;unknown;23;feb;326;1;-1;0;unknown;no
43;unknown;divorced;tertiary;no;1501;yes;yes;cellular;27;jun;261;1;537;0;failure;no
47;technician;married;tertiary;no;-153;yes;yes;unknown;10;may;198;1;90;1;success;no
40;technician;married;tertiary;no;-274;no;no;cellular;24;aug;498;1;-1;1;unknown;no
45;blue-collar;single;secondary;no;8473;yes;no;unknown;15;jul;189;4;-1;0;unknown;no
36;blue-collar;single;secondary;yes;-391;no;no;cellular;31;jul;428;4;594;2;failure;no
63;management;married;tertiary;yes;-782;yes;no;cellular;16;jun;14;1;-1;1;unknown;no
24;management;married;secondary;no;-360;yes;no;cellular;19;apr;149;1;-1;0;unknown;no
53;admin.;single;tertiary;no;-753;no;yes;unknown;26;jun;508;2;-1;1;unknown;no
54;student;married;secondary;no;-476;no;no;unknown;9;may;272;1;-1;0;unknown;no
31;unknown;single;tertiary;no;-435;yes;no;cellular;22;may;560;4;797;1;other;no
63;management;married;secondary;no;236;yes;no;cellular;27;jul;278;4;-1;1;unknown;no
50;housemaid;married;tertiary;no;-759;yes;no;telephone;9;jun;482;2;-1;1;unknown;no
50;housemaid;single;secondary;no;2726;yes;no;cellular;26;jun;146;2;-1;0;unknown;no
40;admin.;married;tertiary;no;-732;no;no;unknown;9;aug;433;2;-1;0;unknown;no
38;blue-collar;divorced;secondary;no;65;yes;no;unknown;19;jul;378;2;-1;0;unknown;no
38;management;married;tertiary;no;-107;no;no;unknown;11;nov;251;2;-1;1;unknown;no
44;management;married;secondary;no;1603;yes;yes;cellular;20;may;487;1;-1;0;unknown;no
55;management;married;tertiary;no;659;yes;no;unknown;5;aug;541;1;-1;2;unknown;no
42;technician;married;tertiary;no;2693;no;yes;telephone;26;nov;456;1;-1;1;unknown;no
30;blue-collar;single;primary;no;-136;no;no;cellular;5;may;500;6;58;0;other;yes
49;admin.;single;tertiary;no;-211;yes;no;unknown;11;may;379;1;-1;1;unknown;no
50;admin.;single;tertiary;no;757;yes;no;cellular;26;jun;101;1;-1;1;unknown;no
47;blue-collar;married;tertiary;no;2169;yes;no;telephone;3;may;299;1;-1;0;unknown;no
48;management;married;secondary;no;1603;yes;no;cellular;26;aug;253;2;226;0;failure;no
37;technician;married;tertiary;no;613;no;yes;cellular;13;feb;351;1;42;1;failure;no
30;technician;single;secondary;no;484;yes;no;cellular;9;may;547;4;-1;0;unknown;no
31;retired;married;tertiary;no;158;yes;no;telephone;26;apr;467;4;-1;0;unknown;no
23;management;married;secondary;no;752;yes;no;cellular;27;may;449;5;-1;1;unknown;no
42;blue-collar;married;secondary;no;7491;no;no;cellular;27;aug;27;2;-1;1;unknown;no
39;management;married;tertiary;no;-40;yes;yes;cellular;18;may;258;4;517;0;failure;no
35;entrepreneur;single;secondary;no;-138;yes;no;telephone;7;jun;198;1;-1;0;unknown;yes
18;technician;single;secondary;no;-194;yes;no;cellular;23;dec;410;1;-1;0;unknown;no
27;management;divorced;secondary;no;719;yes;no;cellular;22;may;638;1;-1;0;unknown;no
52;blue-collar;married;primary;no;-769;yes;no;cellular;28;feb;336;2;-1;0;unknown;no
33;blue-collar;married;secondary;no;58;no;no;unknown;23;jun;81;2;-1;0;unknown;no
44;blue-collar;married;secondary;no;1746;yes;no;unknown;10;jan;278;2;-1;1;unknown;no
25;technician;single;unknown;no;-252;no;no;unknown;14;jun;4;1;637;0;failure;no
55;admin.;single;primary;no;422;yes;no;cellular;21;jun;510;3;-1;0;unknown;no
38;admin.;married;secondary;no;8139;no;no;cellular;25;feb;193;4;-1;0;unknown;no
43;blue-collar;single;tertiary;no;628;yes;yes;cellular;10;jun;585;6;-1;0;unknown;no
64;technician;married;secondary;no;-783;yes;no;cellular;9;nov;598;2;-1;0;unknown;no
56;management;married;primary;no;-632;no;no;cellular;28;may;682;1;-1;1;unknown;no
37;retired;married;secondary;no;-47;yes;no;cellular;31;may;190;1;-1;0;unknown;no
34;entrepreneur;married;secondary;no;-409;yes;no;telephone;10;jun;972;2;-1;2;unknown;yes
37;admin.;divorced;secondary;no;316;no;no;telephone;3;may;583;1;-1;1;unknown;no
45;technician;single;tertiary;no;-83;no;no;cellular;20;jul;202;2;-1;0;unknown;no
39;blue-collar;single;secondary;no;2619;no;yes;unknown;1;apr;630;1;-1;0;unknown;no
36;admin.;single;tertiary;no;-532;yes;no;unknown;6;jun;195;1;-1;0;unknown;no
55;management;single;secondary;no;-9;no;no;telephone;17;feb;360;1;-1;0;unknown;no
39;admin.;married;tertiary;no;463;no;no;cellular;12;jul;435;1;791;0;failure;no
64;admin.;married;primary;no;642;no;no;cellular;2;may;413;2;-1;0;unknown;no
41;technician;married;secondary;no;370;no;no;cellular;11;may;154;3;-1;0;unknown;no
59;management;divorced;secondary;no;-802;no;no;cellular;21;oct;667;1;-1;1;unknown;no
44;blue-collar;divorced;secondary;no;292;no;no;cellular;24;jul;527;1;-1;0;unknown;no
50;entrepreneur;single;tertiary;no;43;yes;no;cellular;24;feb;803;1;-1;0;unknown;yes
32;services;married;secondary;no;1702;yes;no;cellular;9;jul;657;4;-1;1;unknown;no
31;admin.;married;tertiary;no;1360;yes;no;unknown;21;may;577;9;-1;0;unknown;no
45;blue-collar;single;secondary;no;495;yes;no;cellular;11;nov;583;1;-1;1;unknown;no
50;retired;married;tertiary;no;600;no;no;cellular;21;aug;434;1;-1;0;unknown;no
40;retired;married;tertiary;no;3340;yes;no;cellular;1;aug;264;1;-1;0;unknown;no
26;unemployed;married;secondary;no;2564;yes;no;cellular;13;jul;448;1;-1;1;unknown;no
26;housemaid;married;secondary;no;544;no;no;unknown;10;jul;142;4;-1;1;unknown;no
25;admin.;single;tertiary;no;8471;no;no;telephone;21;nov;627;1;-1;2;unknown;no
21;management;divorced;secondary;no;-315;yes;no;cellular;9;may;1160;14;-1;0;unknown;yes
41;retired;single;tertiary;no;-565;yes;no;cellular;10;may;460;1;-1;1;unknown;no
52;blue-collar;married;primary;no;185;yes;no;cellular;17;may;215;1;-1;1;unknown;no
40;management;married;secondary;no;-145;yes;no;cellular;21;aug;129;1;409;0;success;no
18;blue-collar;divorced;secondary;no;-807;yes;no;cellular;13;nov;257;1;-1;0;unknown;no
38;technician;married;secondary;no;-329;yes;no;telephone;28;jun;586;4;-1;1;unknown;no
38;technician;married;secondary;no;646;no;yes;cellular;31;mar;415;2;450;0;success;no
62;management;single;primary;no;135;yes;no;cellular;19;aug;360;3;-1;1;unknown;no
25;unemployed;married;primary;no;-396;yes;no;unknown;17;aug;278;2;-1;0;unknown;no
36;unemployed;married;secondary;no;244;no;yes;unknown;17;aug;394;2;-1;0;unknown;no
58;blue-collar;single;primary;no;340;yes;no;unknown;3;apr;78;1;363;0;failure;no
45;housemaid;single;secondary;no;1342;yes;no;cellular;13;may;230;4;-1;1;unknown;no
46;retired;married;unknown;no;-323;yes;no;cellular;26;jul;219;3;-1;0;unknown;no
41;admin.;married;primary;no;1728;yes;no;cellular;22;jul;227;1;-1;0;unknown;no
43;housemaid;divorced;secondary;no;-532;yes;yes;cellular;2;jan;520;1;-1;1;unknown;yes
48;blue-collar;single;tertiary;no;-237;yes;yes;cellular;5;may;71;1;-1;0;unknown;no
32;technician;single;tertiary;no;5097;yes;no;unknown;26;may;227;2;-1;0;unknown;no
49;management;married;secondary;no;-506;no;no;cellular;23;jun;318;2;-1;2;unknown;yes
26;services;divorced;secondary;no;-333;no;no;cellular;13;jun;274;1;-1;0;unknown;no
43;housemaid;divorced;tertiary;no;-587;yes;no;cellular;30;jul;282;1;-1;1;unknown;no
42;blue-collar;married;secondary;no;-421;no;no;unknown;2;aug;67;1;-1;1;unknown;no
34;technician;married;secondary;no;359;yes;no;cellular;24;aug;387;1;-1;1;unknown;no
40;admin.;single;secondary;no;1323;yes;yes;cellular;31;jul;89;1;-1;1;unknown;no
33;admin.;single;tertiary;no;176;yes;yes;unknown;14;jul;124;1;-1;0;unknown;no
29;entrepreneur;single;secondary;no;-107;yes;no;cellular;16;may;517;1;-1;0;unknown;yes
36;services;divorced;secondary;no;-584;yes;no;unknown;7;nov;316;1;-1;1;unknown;no
28;entrepreneur;single;secondary;no;-370;no;yes;cellular;27;jul;194;7;-1;0;unknown;no
43;admin.;married;secondary;no;-666;yes;no;unknown;23;jun;980;1;306;0;failure;yes
28;blue-collar;married;tertiary;no;1391;yes;no;cellular;14;jul;231;2;-1;0;unknown;no
47;blue-collar;single;secondary;no;1555;yes;no;cellular;8;may;120;2;-1;0;unknown;no
28;admin.;married;tertiary;no;153;no;no;cellular;15;jun;51;2;-1;0;unknown;no
34;management;married;secondary;no;805;yes;no;telephone;15;jul;583;3;-1;0;unknown;no
33;blue-collar;single;tertiary;no;1734;no;no;cellular;12;may;488;2;518;0;failure;yes
54;blue-collar;married;secondary;no;313;yes;yes;unknown;27;feb;298;1;-1;1;unknown;no
43;retired;single;primary;no;3519;no;no;cellular;12;apr;161;2;210;0;failure;no
38;services;married;secondary;no;-506;yes;no;unknown;4;jun;431;1;-1;0;unknown;no
45;blue-collar;married;primary;no;-126;yes;no;cellular;25;aug;472;1;-1;2;unknown;no
18;entrepreneur;married;secondary;no;-213;yes;no;cellular;23;jun;15;6;265;1;other;no
40;blue-collar;single;secondary;no;1195;yes;no;unknown;1;jul;118;1;-1;0;unknown;no
61;technician;single;tertiary;no;-639;yes;no;cellular;22;may;523;2;498;0;success;no
41;blue-collar;married;secondary;no;3766;yes;yes;telephone;16;aug;90;2;751;0;failure;no
41;blue-collar;married;secondary;no;1023;no;no;telephone;21;jun;222;5;-1;0;unknown;no
46;management;married;tertiary;no;5413;no;yes;cellular;9;aug;279;2;277;0;other;no
49;blue-collar;single;tertiary;no;153;yes;yes;telephone;6;apr;154;1;335;1;other;no
19;blue-collar;divorced;tertiary;no;-267;no;no;cellular;18;jul;326;1;-1;0;unknown;no
22;admin.;single;unknown;no;1216;no;yes;unknown;2;jul;155;1;58;0;failure;no
42;retired;married;secondary;no;2173;no;yes;unknown;7;jul;119;1;-1;0;unknown;no
